row_idx	col_idx	log2ratio
1	1	2484
2	1	3763
3	1	3827
4	1	3686
5	1	2611
6	1	2086
7	1	2020
8	1	2316
9	1	2313
10	1	2143
11	1	3100
12	1	2770
13	1	3160
14	1	3679
15	1	4573
16	1	4974
17	1	7213
18	1	6478
19	1	5796
20	1	5321
21	1	6203
22	1	6251
23	1	5968
24	1	5542
1	2	3678
2	2	3856
3	2	3640
4	2	3834
5	2	2859
6	2	2189
7	2	2143
8	2	2092
9	2	2316
10	2	3063
11	2	2535
12	2	3342
13	2	4265
14	2	4989
15	2	5236
16	2	5102
17	2	5738
18	2	6204
19	2	6035
20	2	6056
21	2	5431
22	2	5086
23	2	6671
24	2	5481
1	3	4740
2	3	4115
3	3	3942
4	3	3654
5	3	3021
6	3	2559
7	3	2424
8	3	2507
9	3	2870
10	3	2736
11	3	3102
12	3	3218
13	3	4272
14	3	4292
15	3	4534
16	3	5534
17	3	6035
18	3	6303
19	3	5390
20	3	5802
21	3	4771
22	3	4820
23	3	4709
24	3	4602
1	4	3665
2	4	4146
3	4	3304
4	4	2969
5	4	2684
6	4	2045
7	4	1696
8	4	1813
9	4	1881
10	4	1653
11	4	2134
12	4	3280
13	4	4345
14	4	4449
15	4	4702
16	4	5261
17	4	4447
18	4	4623
19	4	5190
20	4	5671
21	4	5237
22	4	4342
23	4	4698
24	4	4225
1	5	3393
2	5	3096
3	5	3272
4	5	2629
5	5	2307
6	5	2466
7	5	4138
8	5	2884
9	5	2484
10	5	2666
11	5	2887
12	5	3125
13	5	3564
14	5	4474
15	5	4530
16	5	4139
17	5	4196
18	5	4086
19	5	4215
20	5	4301
21	5	4226
22	5	4084
23	5	3403
24	5	3456
1	6	3039
2	6	3674
3	6	3245
4	6	2830
5	6	2217
6	6	1693
7	6	1532
8	6	1440
9	6	1210
10	6	1128
11	6	1120
12	6	1840
13	6	1937
14	6	2279
15	6	2867
16	6	2724
17	6	2810
18	6	3011
19	6	3633
20	6	2636
21	6	2759
22	6	3450
23	6	2398
24	6	2356
1	7	2646
2	7	2274
3	7	2183
4	7	2060
5	7	1765
6	7	1691
7	7	1277
8	7	1240
9	7	1098
10	7	1180
11	7	1249
12	7	1668
13	7	1566
14	7	1864
15	7	2601
16	7	2420
17	7	2608
18	7	2724
19	7	2751
20	7	2717
21	7	2437
22	7	2975
23	7	2447
24	7	2745
